candidate_id,rank,score,reasoning
CAND_0077337,1,0.829433,"Staff Machine Learning Engineer with 7.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.62; skills 10.0/10; experience 9.6/10; career path Staff Machine Learning Engineer -> Paytm."
CAND_0081846,2,0.792701,"Lead AI Engineer with 6.7 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.55; skills 10.0/10; experience 9.2/10; career path Lead AI Engineer -> Razorpay."
CAND_0079387,3,0.786480,"AI Engineer with 6.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.53; skills 10.0/10; experience 9.1/10; career path AI Engineer -> Microsoft."
CAND_0028793,4,0.779856,"Search Engineer with 7.2 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.55; skills 9.9/10; experience 8.9/10; career path Search Engineer -> Google."
CAND_0071974,5,0.779705,"Senior AI Engineer with 7.8 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.59; skills 9.6/10; experience 8.3/10; career path Senior AI Engineer -> Netflix."
CAND_0018499,6,0.777745,"Senior Machine Learning Engineer with 7.2 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.56; skills 9.6/10; experience 9.1/10; career path Senior Machine Learning Engineer -> Zomato."
CAND_0052682,7,0.757470,"NLP Engineer with 6.6 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.50; skills 10.0/10; experience 8.6/10; career path NLP Engineer -> Aganitha."
CAND_0005538,8,0.752510,"Senior AI Engineer with 5.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.60; skills 9.1/10; experience 8.0/10; career path Senior AI Engineer -> Adobe."
CAND_0052328,9,0.751007,"Recommendation Systems Engineer with 6.5 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.50; skills 10.0/10; experience 8.5/10; career path Recommendation Systems Engineer -> Amazon."
CAND_0037566,10,0.749196,"Machine Learning Engineer with 6.9 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.48; skills 9.6/10; experience 9.1/10; career path Machine Learning Engineer -> LinkedIn."
CAND_0050876,11,0.744975,"Applied ML Engineer with 6.0 years and fit around embeddings, evaluation, fine-tuning, llm for a 5-9 year AI engineering role.; semantic 0.51; skills 10.0/10; experience 7.9/10; career path Applied ML Engineer -> Freshworks."
